Additional_outlet_count,Call,Cost_for_two,Cuisines,Delivery_Time_min_order,Features,Home_Delivery,Operational_hours,Rating_votes,Restaurant_Location,Restaurant_Name,Restaurant_Type,View_Menu
1 more outlet in Mumbai,True,"₹1,500","Finger Food, Continental, European, Italian",,"Food Hygiene Rated Restaurants In Mumbai, Best of Mumbai",False,12noon – 1am (Mon-Sun),4.9                                        1326 votes,Kamala Mills Compound,Lord of the Drinks,"Lounge,Casual Dining",True
1 more outlet in Mumbai,True,₹800,Pizza,,"Value For Money, Best of Mumbai",False,11am – 12:30AM (Mon-Sun),4.6                                        5974 votes,Malad West,Joey's Pizza,Quick Bites,True
,True,"₹2,500",Seafood,,"Super Seafood, Best of Mumbai",False,"Closed (Mon),12noon – 3pm, 7pm – 12midnight...",4.5                                        1438 votes,"Linking Road, Bandra West",Bastian,"Casual Dining,Bar",True
,True,"₹1,800","Finger Food, Continental",,"Where's The Party?, Best of Mumbai, Food Hygiene Rated Restaurants In Mumbai",False,12noon – 1am (Mon-Sun),4.9                                        3275 votes,Lower Parel,Tamasha,"Lounge,Bar",True
2 more outlets in Mumbai,True,₹450,"North Indian, Street Food, Fast Food, Chinese",45 min                                                                             ·                                                                             Rs. 0,,True,"12noon – 4pm, 7pm – 11:45pm (Mon-Sun)",4.1                                        1422 votes,Vashi,Bhagat Tarachand,Casual Dining,True
,True,"₹1,600","Modern Indian, European, Pizza, Grill",,"Best of Mumbai, Food Hygiene Rated Restaurants In Mumbai",False,1pm – 1am (Mon-Sun),4.8                                        1989 votes,"Linking Road, Bandra West",JLWA,"Casual Dining,Bar",True
,True,₹800,"American, Asian, Street Food, Indian, Lucknowi, Mexican, Chinese, Italian",30 min                                                                             ·                                                                             Rs. 0,,True,12noon – 1am (Mon-Sun),4.4                                        1424 votes,Flea Bazaar Café,Flea Bazaar Café,Café,True
3 more outlets in Mumbai,True,"₹1,200",Modern Indian,45 min                                                                             ·                                                                             Rs. 99,Best of Mumbai,True,12noon – 1:30am (Mon-Sun),4.7                                        2640 votes,"First International Financial Centre, Bandra Kurla Complex",HITCHKI,"Casual Dining,Bar",True
,True,"₹2,800","Asian, Cantonese, Chinese, Tea, Yum Cha",,Best of Mumbai,False,12noon – 1am (Mon-Sun),4.7                                        4752 votes,Bandra Kurla Complex,Yauatcha,Fine Dining,True
,True,"₹1,200",Asian,,Newly Opened,False,12noon – 1am (Mon-Sun),NEW,"High Street Phoenix, Lower Parel",Foo,Casual Dining,True
