,Additional_outlet_count,Cost_for_two,Delivery_Time,Home_Delivery,Delivery_cost,Rating,votes,Cuisine_count,Feature_count,Rest_type_count
0,1,1500,45,0,76,4.9,1326,4,2,2
1,1,800,45,0,76,4.6,5974,1,2,1
2,4,2500,45,0,76,4.5,1438,1,2,2
3,4,1800,45,0,76,4.9,3275,2,3,2
4,2,450,45,1,0,4.1,1422,4,1,1
5,4,1600,45,0,76,4.8,1989,4,2,2
6,4,800,30,1,0,4.4,1424,8,1,1
7,3,1200,45,1,99,4.7,2640,1,1,2
8,4,2800,45,0,76,4.7,4752,5,1,1
9,4,1200,45,0,76,0.0,238,1,1,1
10,4,700,45,0,76,4.4,7065,2,1,1
11,4,3000,45,0,76,4.9,1037,5,1,1
12,4,600,45,1,99,3.9,2107,3,2,1
13,4,1800,45,0,76,4.9,1054,1,2,2
14,34,500,38,1,0,4.1,1053,6,1,1
15,4,1000,45,0,76,4.4,655,1,3,2
16,4,1000,45,0,76,4.7,4145,4,2,2
17,2,1600,45,0,76,4.0,3823,8,1,2
18,4,1800,45,0,76,4.1,1796,3,1,2
19,4,1300,45,0,76,4.0,1732,4,1,2
20,4,1500,45,0,76,4.9,5508,3,2,1
21,4,1800,45,0,76,4.4,2838,4,2,2
22,5,1500,40,1,99,3.9,1825,3,1,1
23,43,700,45,0,76,4.4,1886,2,1,1
24,4,2200,45,0,76,4.9,1922,3,4,2
25,4,1500,45,0,76,4.2,2026,4,1,1
26,7,1100,45,1,99,4.2,2629,3,1,1
27,3,1800,45,0,76,4.3,1818,2,1,2
28,4,1500,45,0,76,4.8,2414,3,4,2
29,4,650,70,1,99,3.9,2820,5,1,1
30,9,1400,45,1,99,4.5,3346,4,3,2
31,4,2000,45,0,76,4.4,2054,2,1,1
32,3,3500,45,0,76,4.4,5081,4,1,1
33,4,800,45,0,76,4.7,660,3,3,1
34,29,450,45,0,76,4.2,2549,1,1,1
35,4,2000,45,1,99,4.3,5446,3,3,1
36,4,1600,40,1,0,4.2,4133,2,1,1
37,4,800,45,0,76,4.0,2796,4,3,1
38,4,900,45,0,76,4.5,2321,3,1,1
39,1,1400,45,1,99,4.3,1327,5,1,2
40,4,1500,45,0,76,4.1,2818,6,4,2
41,4,1800,45,0,76,4.2,773,1,1,1
42,1,550,45,1,99,3.8,1288,5,1,1
43,4,2600,45,0,76,4.6,2312,3,2,1
44,1,700,45,0,76,4.4,1676,2,1,1
45,4,2000,45,0,76,3.8,1308,4,1,1
46,4,1200,45,0,76,4.2,379,2,1,2
47,4,1500,45,1,99,4.5,1347,1,1,2
48,4,1000,45,0,76,4.1,855,1,1,1
49,1,1200,45,1,0,4.5,846,8,5,1
50,77,500,30,1,0,3.7,445,2,1,1
51,1,1500,45,0,76,4.2,726,4,1,2
52,4,1400,45,0,76,4.2,1871,4,2,2
53,4,300,30,1,99,4.3,2846,3,1,1
54,33,900,30,1,200,3.6,477,3,1,1
55,4,1800,45,1,99,4.3,1032,1,1,1
56,1,2000,45,0,76,4.0,4050,4,1,1
57,4,1200,45,0,76,4.5,2900,3,1,1
58,4,2700,45,0,76,4.0,538,1,1,1
59,4,2000,45,0,76,4.2,1729,4,3,2
60,4,2000,45,0,76,4.3,3164,1,2,2
61,58,250,45,1,149,4.2,701,1,1,1
62,4,1400,30,1,99,4.6,2282,6,5,2
63,4,1850,45,0,76,4.2,1679,2,1,2
64,2,1500,45,0,76,4.2,3822,2,2,2
65,1,1600,45,1,99,4.5,1606,8,6,2
66,4,1800,45,1,0,4.8,396,5,1,1
67,3,400,30,1,99,4.1,1062,4,1,1
68,4,2400,45,0,76,4.1,4310,3,2,1
69,1,1400,45,0,76,4.2,2347,2,1,2
70,4,1200,45,0,76,4.3,2688,2,2,1
71,4,3500,45,0,76,4.2,2263,5,3,2
72,4,5000,45,0,76,4.8,3767,2,1,1
73,4,2100,45,0,76,4.1,159,1,1,1
74,15,500,45,0,76,4.3,2751,2,1,1
75,4,1600,50,1,99,4.1,6903,4,1,2
76,2,2000,45,0,76,4.7,810,5,1,1
77,5,550,45,0,76,4.1,770,1,1,1
78,4,1500,45,0,76,4.2,3074,1,1,1
79,1,800,60,1,99,4.1,1367,3,1,1
80,4,1000,45,0,76,4.0,1078,2,1,2
81,4,2500,45,0,76,4.3,911,3,2,1
82,4,1500,45,1,99,4.5,2369,3,3,2
83,2,350,45,1,99,4.0,1063,4,1,1
84,4,1800,45,0,76,0.0,238,5,2,2
85,2,1500,45,1,99,3.9,1094,8,1,2
86,2,1000,45,1,99,4.5,1437,4,2,1
87,28,300,50,1,99,4.3,440,1,1,1
88,4,1500,30,1,99,4.3,1742,5,2,2
89,4,1700,45,0,76,4.2,1729,2,1,2
90,4,1200,45,0,76,4.0,2155,4,2,2
91,4,4500,45,0,76,4.2,2358,1,3,1
92,4,1000,50,1,99,4.3,3363,6,2,1
93,10,850,45,0,76,3.9,2417,2,1,1
94,7,1500,50,1,0,4.6,3235,2,2,1
95,2,700,35,1,99,4.2,9931,5,1,1
96,4,1500,45,1,99,3.8,191,4,1,2
97,1,1500,45,1,99,4.2,3202,5,1,2
98,4,1200,45,0,76,4.3,924,3,1,1
99,4,1200,45,1,0,4.1,718,6,1,2
100,4,1200,45,0,76,4.4,712,1,1,2
101,5,1500,45,0,76,4.0,1521,6,1,2
102,2,900,60,1,99,3.4,6202,6,1,1
103,4,1200,45,0,76,4.2,285,6,1,1
104,4,1600,45,0,76,4.0,3352,2,2,1
105,13,1300,45,0,76,4.3,2359,5,1,1
106,4,1000,45,1,99,4.5,1505,2,3,1
107,4,2000,45,0,76,4.3,1044,3,3,2
108,19,550,40,1,0,3.6,1290,2,1,1
109,4,2500,30,1,99,4.3,928,1,1,2
110,5,1300,45,0,76,4.2,1146,5,1,1
111,4,1500,45,0,76,4.5,2776,2,3,1
112,4,500,45,1,99,4.0,1192,5,1,1
113,4,1500,60,1,99,4.6,2515,3,2,1
114,4,1200,45,0,76,4.0,623,5,1,2
115,4,1900,45,1,99,4.3,1010,3,3,2
116,4,1400,45,0,76,4.1,1525,4,1,2
117,1,300,45,1,99,4.4,2195,5,1,1
118,1,750,55,1,99,3.8,2705,7,2,1
119,4,2500,45,0,76,4.4,581,5,1,2
120,3,900,50,1,99,4.2,694,1,1,1
121,4,1400,45,1,99,4.2,1795,4,1,1
122,4,2000,45,0,76,4.1,848,4,1,2
123,4,1000,45,0,76,0.0,238,3,1,1
124,129,700,45,1,300,3.7,855,2,1,1
125,4,2000,45,0,76,4.3,678,3,1,2
126,3,700,45,0,76,4.0,1897,4,2,1
127,4,1200,45,1,99,4.6,352,3,2,2
128,1,1500,55,1,0,4.2,4483,6,1,2
129,4,3500,45,0,76,4.2,1415,6,2,1
130,18,650,50,1,99,4.2,2953,2,1,1
131,4,1400,45,0,76,0.0,238,3,1,2
132,6,550,45,0,76,3.7,337,3,1,1
133,4,250,45,0,76,4.4,4417,1,2,1
134,4,3000,45,0,76,4.6,711,1,1,2
135,3,400,45,0,76,4.6,1317,2,2,1
136,4,2000,45,0,76,4.2,406,4,1,2
137,11,1300,45,0,76,0.0,238,5,1,2
138,4,1500,45,0,76,4.5,2032,3,3,2
139,4,3000,45,0,76,4.0,424,8,1,2
140,1,1200,30,1,99,4.4,1213,3,1,1
141,2,600,50,1,99,4.3,2147,3,2,1
142,3,1000,70,1,99,4.4,1850,1,1,1
143,4,1200,45,1,99,4.4,883,6,2,1
144,4,200,45,0,76,4.7,4523,1,1,1
145,4,1200,45,1,99,4.2,1948,7,2,1
146,4,750,45,0,76,4.0,1129,4,1,1
147,4,1200,45,1,99,4.5,1373,7,3,2
148,4,2500,45,0,76,4.7,658,5,4,2
149,4,1300,45,0,76,4.3,1836,3,1,1
150,2,600,30,1,99,4.1,1358,4,1,1
151,23,1000,45,0,76,4.0,392,7,1,1
152,1,1500,45,0,76,4.2,625,1,1,1
153,4,1400,50,1,99,4.3,1866,3,1,1
154,2,1000,45,1,99,4.5,1750,2,1,2
155,4,2500,45,0,76,4.4,1535,3,1,1
156,4,2100,50,1,99,4.4,4611,2,1,1
157,3,1200,45,1,0,4.3,779,2,1,1
158,4,1700,45,0,76,4.1,1189,4,2,1
159,2,1100,60,1,99,4.1,2782,3,1,1
160,4,1800,70,1,99,4.3,814,4,1,2
161,4,1200,45,1,99,4.3,2387,5,1,2
162,4,1000,45,1,99,4.3,1158,3,3,2
163,2,1500,45,0,76,4.3,932,1,1,2
164,2,1400,45,1,99,4.6,2329,3,3,1
165,4,1500,45,0,76,4.9,287,2,2,2
166,2,550,45,1,99,4.2,870,2,1,2
167,4,1500,45,0,76,4.9,458,4,1,1
168,4,1300,45,1,0,4.2,1929,4,2,2
169,6,1000,45,0,76,4.1,2749,4,1,1
170,3,1200,45,1,99,3.9,1236,3,1,1
171,5,2000,60,1,350,4.3,2915,2,1,1
172,4,2500,45,0,76,4.4,1459,3,1,1
173,4,1600,45,1,99,4.1,1489,6,2,1
174,4,800,45,1,0,0.0,238,2,1,1
175,4,1600,45,0,76,4.2,277,2,2,2
176,1,1800,45,0,76,3.9,597,6,1,2
177,1,500,45,1,99,4.1,897,1,1,1
178,4,600,53,1,99,4.3,1363,3,1,1
179,4,800,45,1,99,4.2,2261,3,1,1
180,1,1200,45,1,0,0.0,238,2,1,1
181,4,2700,45,1,99,4.3,1100,3,2,2
182,4,1800,45,0,76,4.2,1964,8,6,2
183,4,1500,45,0,76,4.8,221,8,4,2
184,4,1500,45,0,76,4.1,1827,3,1,1
185,1,300,45,1,99,4.2,746,1,1,1
186,4,1200,45,0,76,4.3,3233,4,1,1
187,1,1000,45,1,99,4.6,1387,5,2,1
188,4,1300,45,0,76,0.0,238,4,1,2
189,1,2300,45,0,76,4.3,1622,1,1,1
190,4,1000,45,0,76,4.5,2133,3,2,1
191,4,2700,45,0,76,4.2,2022,4,1,1
192,1,200,45,0,76,4.4,1928,2,1,1
193,4,3000,45,0,76,4.2,122,3,1,1
194,4,250,45,1,99,3.7,3676,4,1,1
195,12,1600,45,0,76,4.0,1754,5,1,1
196,5,700,30,1,99,4.1,2251,6,1,1
197,2,500,30,1,99,4.2,897,4,1,1
198,4,1000,45,1,99,4.1,3027,3,2,1
199,1,550,50,1,99,3.8,749,1,1,1
200,4,2500,45,0,76,4.4,424,2,1,1
201,1,1700,30,1,99,4.0,506,2,1,1
202,4,1000,44,1,0,4.1,2241,2,1,1
203,4,1000,45,0,76,3.9,424,4,1,1
204,2,450,30,1,99,4.0,1628,4,1,1
205,1,600,45,1,0,3.5,25,3,1,2
206,5,1400,45,1,99,4.3,6746,3,2,2
207,4,1600,45,1,99,4.2,797,4,1,2
208,4,1300,45,0,76,4.2,4853,4,2,1
209,4,200,45,1,99,4.1,1503,1,2,1
210,1,1700,50,1,99,4.5,3136,5,4,1
211,4,2400,45,0,76,4.6,1061,4,1,2
212,5,1600,45,0,76,4.1,3018,7,4,2
213,4,2500,45,0,76,4.5,1693,4,3,1
214,1,600,45,0,76,4.3,1698,1,1,1
215,2,2500,45,0,76,3.6,1045,2,1,1
216,1,1000,45,0,76,4.5,3312,4,2,1
217,4,1700,45,0,76,3.8,556,1,1,1
218,4,1200,45,0,76,3.9,1151,3,3,1
219,4,650,45,1,99,4.5,507,3,1,1
220,4,550,45,1,99,4.0,975,2,1,1
221,4,1500,45,0,76,4.5,1997,3,2,1
222,4,4000,45,0,76,0.0,238,3,1,1
223,4,3000,45,0,76,4.2,410,1,1,1
224,5,1400,50,1,99,4.0,2045,4,1,1
225,26,500,47,1,99,3.7,886,2,1,1
226,1,800,45,0,76,4.6,1640,5,1,1
227,4,650,45,1,99,3.8,937,8,1,1
228,4,2100,45,0,76,4.1,200,2,2,1
229,4,1000,45,0,76,4.0,1188,4,1,1
230,4,1000,45,0,76,4.1,239,2,3,1
231,4,1000,45,0,76,4.2,2607,1,2,1
232,4,800,45,0,76,3.8,1189,5,1,1
233,4,1200,45,0,76,4.1,904,5,1,1
234,4,750,45,0,76,4.0,932,5,1,1
235,1,1200,55,1,99,4.0,1872,3,1,1
236,2,1300,45,0,76,4.3,831,3,1,1
237,4,1200,40,1,0,4.4,2129,1,1,2
238,4,1200,45,0,76,4.7,642,4,1,2
239,4,2200,45,0,76,4.7,687,7,3,2
240,8,1200,45,0,76,3.8,1645,3,1,1
241,4,1600,45,0,76,4.3,1282,6,1,1
242,4,1500,45,0,76,4.2,2041,6,2,2
243,9,1800,60,1,0,4.1,1395,2,1,1
244,4,3500,45,0,76,4.3,1645,4,2,1
245,3,1150,45,0,76,4.0,1538,2,1,1
246,4,1200,45,0,76,3.6,359,4,1,2
247,4,2200,45,1,0,4.4,1511,8,4,2
248,4,1180,45,0,76,4.3,476,2,2,1
249,4,800,50,1,99,4.1,1260,8,1,1
250,3,800,30,1,0,4.2,629,3,1,1
251,4,850,45,0,76,4.6,940,7,1,1
252,4,2300,45,0,76,4.1,732,3,1,1
253,15,200,45,0,76,4.4,1610,3,1,1
254,3,300,45,1,0,3.9,1287,5,1,2
255,4,300,45,0,76,4.1,3590,2,2,2
256,4,650,45,0,76,4.1,1894,2,1,1
257,4,500,45,0,76,4.0,747,4,1,1
258,34,650,45,1,0,4.0,259,1,1,1
259,4,1500,45,0,76,0.0,238,7,2,2
260,4,1600,51,1,99,4.6,2042,8,5,2
261,4,4000,45,0,76,4.3,970,2,1,1
262,4,1000,45,0,76,3.9,1135,7,1,1
263,8,1000,45,0,76,3.9,1510,1,1,2
264,4,1200,55,1,99,4.1,1768,3,1,2
265,1,1500,45,1,99,4.2,2747,3,1,2
266,1,500,50,1,99,4.1,1827,8,1,1
267,4,700,45,1,99,4.0,249,1,1,1
268,4,2000,43,1,0,4.1,1577,5,3,1
269,4,1300,40,1,0,4.1,2235,4,1,1
270,1,700,45,0,76,4.0,400,4,1,1
271,4,1600,55,1,99,4.3,2419,5,2,2
272,4,1200,45,1,99,4.2,2202,3,2,1
273,7,1900,45,0,76,4.1,2856,2,2,2
274,4,1200,45,0,76,3.8,1454,2,1,1
275,4,700,45,1,99,3.8,655,5,1,1
276,4,1500,45,0,76,4.5,684,2,1,1
277,4,1200,60,1,99,4.8,959,8,1,2
278,1,1900,45,0,76,3.9,261,4,1,1
279,4,500,30,1,0,4.0,896,3,1,1
280,4,2200,45,0,76,4.2,781,2,1,1
281,4,1200,45,0,76,4.0,638,1,1,2
282,4,1000,45,0,76,4.5,1069,2,1,1
283,1,550,50,1,99,3.8,1007,4,1,1
284,4,1000,45,0,76,3.8,363,4,1,1
285,4,1500,45,1,0,0.0,238,8,2,1
286,2,600,45,1,99,4.1,409,1,1,1
287,4,1200,45,0,76,4.5,304,5,1,1
288,4,3000,45,0,76,4.0,565,1,2,1
289,4,1600,45,1,0,4.0,1166,5,1,1
290,4,1200,45,1,99,3.8,364,2,1,1
291,2,600,55,1,99,4.2,2141,2,4,2
292,4,400,45,0,76,4.5,1068,3,2,1
293,4,1200,45,1,99,4.2,1369,4,1,1
294,4,1500,45,1,99,4.2,816,1,1,2
295,4,1100,45,0,76,4.1,739,2,1,1
